,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Rocha,UY,2022-04-11 03:23:26,-34.4833,-54.3333,67.51,89,100,11.16,overcast clouds,0,0
1,Fortuna,US,2022-04-11 03:24:58,40.5982,-124.1573,49.66,82,20,0.0,few clouds,0,0
2,Port Hardy,CA,2022-04-11 03:22:35,50.6996,-127.4199,44.6,70,75,8.05,broken clouds,0,0
3,Mataura,NZ,2022-04-11 03:24:59,-46.1927,168.8643,65.48,51,72,10.94,light rain,0,0
4,Bredasdorp,ZA,2022-04-11 03:24:59,-34.5322,20.0403,60.37,96,27,2.48,scattered clouds,0,0
5,Vaini,TO,2022-04-11 03:25:00,-21.2,-175.2,80.76,89,40,11.5,light intensity shower rain,0,0
6,Mandan,US,2022-04-11 03:25:01,46.8267,-100.8896,43.02,74,75,5.75,broken clouds,0,0
7,Tucuman,AR,2022-04-11 03:25:01,-26.8241,-65.2226,68.0,100,40,3.44,mist,0,0
8,Eskilstuna,SE,2022-04-11 03:25:02,59.3666,16.5077,34.74,79,18,1.01,few clouds,0,0
9,Antsohihy,MG,2022-04-11 03:25:03,-14.8796,47.9875,76.44,76,9,8.43,clear sky,0,0
10,Saskylakh,RU,2022-04-11 03:25:03,71.9167,114.0833,-4.63,93,23,5.39,few clouds,0,0
11,Saint Anthony,US,2022-04-11 03:22:33,45.0205,-93.218,57.13,54,0,16.11,clear sky,0,0
12,Kholodnyy,RU,2022-04-11 03:25:04,62.7167,147.95,3.33,60,70,1.23,broken clouds,0,0
13,Tiksi,RU,2022-04-11 03:25:05,71.6872,128.8694,0.95,83,100,3.83,overcast clouds,0,0
14,Hilo,US,2022-04-11 03:22:57,19.7297,-155.09,76.73,87,100,8.05,light rain,0.76,0
15,Yellowknife,CA,2022-04-11 03:21:13,62.456,-114.3525,12.42,77,20,12.66,few clouds,0,0
16,Carnarvon,AU,2022-04-11 03:25:05,-24.8667,113.6333,75.27,50,23,10.36,few clouds,0,0
17,Rikitea,PF,2022-04-11 03:22:53,-23.1203,-134.9692,78.96,74,0,17.83,clear sky,0,0
18,Mar Del Plata,AR,2022-04-11 03:24:05,-38.0023,-57.5575,67.08,93,100,9.22,moderate rain,0,0
19,Rudbar,AF,2022-04-11 03:25:07,30.15,62.6,80.4,13,48,5.01,scattered clouds,0,0
20,Kodinsk,RU,2022-04-11 03:25:07,58.6881,99.1844,32.4,73,72,5.12,broken clouds,0,0
21,Cape Town,ZA,2022-04-11 03:21:44,-33.9258,18.4232,68.92,73,0,4.0,clear sky,0,0
22,Nsanje,MW,2022-04-11 03:25:08,-16.92,35.262,71.4,93,100,2.13,overcast clouds,0,0
23,Biltine,TD,2022-04-11 03:25:09,14.5333,20.9167,84.09,12,99,11.03,overcast clouds,0,0
24,Atuona,PF,2022-04-11 03:22:54,-9.8,-139.0333,79.29,77,11,16.13,few clouds,0,0
25,Bluff,NZ,2022-04-11 03:25:10,-46.6,168.3333,65.8,63,100,20.83,overcast clouds,0,0
26,Beloha,MG,2022-04-11 03:25:10,-25.1667,45.05,72.07,83,72,16.73,broken clouds,0,0
27,Mombetsu,JP,2022-04-11 03:25:11,44.3525,143.3525,42.82,93,75,5.75,broken clouds,0,0
28,Jamestown,US,2022-04-11 03:23:41,42.097,-79.2353,33.71,60,0,6.91,clear sky,0,0
29,Banda Aceh,ID,2022-04-11 03:25:12,5.5577,95.3222,84.43,69,96,2.04,overcast clouds,0,0
30,Ushuaia,AR,2022-04-11 03:25:13,-54.8,-68.3,40.66,81,100,3.44,overcast clouds,0,0
31,Srednekolymsk,RU,2022-04-11 03:25:13,67.45,153.6833,8.44,78,100,11.03,overcast clouds,0,0
32,Hithadhoo,MV,2022-04-11 03:21:20,-0.6,73.0833,83.7,65,38,10.49,scattered clouds,0,0
33,Busselton,AU,2022-04-11 03:22:47,-33.65,115.3333,65.62,47,15,8.19,few clouds,0,0
34,Port Lincoln,AU,2022-04-11 03:25:14,-34.7333,135.8667,65.48,69,99,15.41,overcast clouds,0,0
35,Punta Arenas,CL,2022-04-11 03:25:15,-53.15,-70.9167,44.71,87,100,8.05,overcast clouds,0,0
36,Saint Joseph,US,2022-04-11 03:23:25,39.7686,-94.8466,57.58,43,0,14.0,clear sky,0,0
37,Port Augusta,AU,2022-04-11 03:25:16,-32.5,137.7667,88.81,20,6,2.06,clear sky,0,0
38,Broome,US,2022-04-11 03:25:16,42.2506,-75.833,37.2,73,100,5.75,overcast clouds,0,0
39,Palmeiras De Goias,BR,2022-04-11 03:25:16,-16.805,-49.9258,71.89,78,54,1.5,broken clouds,0,0
40,Svetlogorsk,BY,2022-04-11 03:25:17,52.6333,29.7333,35.76,79,100,6.85,overcast clouds,0,0
41,Panji,ID,2022-04-11 03:25:17,-7.7253,114.0995,86.49,57,4,3.42,clear sky,0,0
42,Ogulin,HR,2022-04-11 03:25:17,45.2661,15.2286,31.6,78,7,2.82,clear sky,0,0
43,Margate,GB,2022-04-11 03:25:18,51.3813,1.3862,45.7,76,94,5.01,overcast clouds,0,0
44,Puerto Ayora,EC,2022-04-11 03:25:19,-0.7393,-90.3518,77.56,94,100,4.0,overcast clouds,0,0
45,Hobart,AU,2022-04-11 03:22:49,-42.8794,147.3294,63.01,45,40,10.36,scattered clouds,0,0
46,Saint-Louis,SN,2022-04-11 03:25:19,16.3333,-15.0,69.44,40,5,14.2,clear sky,0,0
47,Greece,US,2022-04-11 03:25:20,43.2098,-77.6931,40.35,71,75,6.91,broken clouds,0,0
48,Wakkanai,JP,2022-04-11 03:25:20,45.4094,141.6739,44.58,93,75,12.66,broken clouds,0,0
49,Tazovskiy,RU,2022-04-11 03:25:21,67.4667,78.7,19.22,95,100,11.63,light snow,0,0
50,Dikson,RU,2022-04-11 03:22:58,73.5069,80.5464,-2.13,99,92,4.43,overcast clouds,0,0
51,Upernavik,GL,2022-04-11 03:25:22,72.7868,-56.1549,4.24,89,100,5.28,overcast clouds,0,0
52,Nuqui,CO,2022-04-11 03:25:22,5.7125,-77.2708,77.94,88,100,2.8,light rain,0,0
53,Palana,RU,2022-04-11 03:25:22,59.1167,159.9667,23.23,82,100,16.58,overcast clouds,0,0
54,Kailua,US,2022-04-11 03:25:23,21.4022,-157.7394,82.38,79,87,7.0,overcast clouds,0,0
55,Liku,ID,2022-04-11 03:25:23,-0.7275,119.8922,85.96,67,77,3.04,broken clouds,0,0
56,Yining,CN,2022-04-11 03:25:24,29.0361,114.5636,86.07,38,0,3.94,clear sky,0,0
57,Cabo San Lucas,MX,2022-04-11 03:25:25,22.8909,-109.9124,72.7,73,5,8.01,clear sky,0,0
58,Dukat,RU,2022-04-11 03:25:25,62.55,155.55,1.53,82,95,5.5,overcast clouds,0,0
59,Geraldton,AU,2022-04-11 03:25:26,-28.7667,114.6,72.01,60,40,17.27,scattered clouds,0,0
60,Hermanus,ZA,2022-04-11 03:25:26,-34.4187,19.2345,61.81,90,35,9.98,scattered clouds,0,0
61,Mahon,ES,2022-04-11 03:25:27,39.8885,4.2658,54.16,82,0,10.36,clear sky,0,0
62,Kamenka,RU,2022-04-11 03:25:27,51.3223,42.7678,50.58,78,100,11.07,overcast clouds,0,0
63,Urdoma,RU,2022-04-11 03:25:28,61.7533,48.5442,35.49,100,100,4.03,overcast clouds,0,0
64,Tarrega,ES,2022-04-11 03:25:28,41.647,1.1396,44.58,91,50,6.38,scattered clouds,0,0
65,Sambava,MG,2022-04-11 03:25:29,-14.2667,50.1667,74.86,89,83,9.48,broken clouds,0,0
66,Hofn,IS,2022-04-11 03:25:29,64.2539,-15.2082,35.56,71,100,8.03,overcast clouds,0,0
67,Kodiak,US,2022-04-11 03:23:16,57.79,-152.4072,45.91,31,0,4.61,clear sky,0,0
