,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rocha,UY,67.51,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
1,Fortuna,US,49.66,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
2,Port Hardy,CA,44.6,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
3,Mataura,NZ,65.48,light rain,-46.1927,168.8643,Ellie's Villa
4,Bredasdorp,ZA,60.37,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
5,Vaini,TO,80.76,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
6,Mandan,US,43.02,broken clouds,46.8267,-100.8896,Twin City Estates
7,Tucuman,AR,68.0,mist,-26.8241,-65.2226,Dallas Hotel Tucuman
8,Eskilstuna,SE,34.74,few clouds,59.3666,16.5077,Comfort Hotel Eskilstuna
9,Antsohihy,MG,76.44,clear sky,-14.8796,47.9875,Hotel de Ville
10,Saskylakh,RU,-4.63,few clouds,71.9167,114.0833,
11,Saint Anthony,US,57.13,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
12,Kholodnyy,RU,3.33,broken clouds,62.7167,147.95,
13,Tiksi,RU,0.95,overcast clouds,71.6872,128.8694,Arktika
14,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Yellowknife,CA,12.42,few clouds,62.456,-114.3525,The Explorer Hotel
16,Carnarvon,AU,75.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
18,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
19,Rudbar,AF,80.4,scattered clouds,30.15,62.6,
20,Kodinsk,RU,32.4,broken clouds,58.6881,99.1844,
21,Cape Town,ZA,68.92,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Nsanje,MW,71.4,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
23,Biltine,TD,84.09,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
24,Atuona,PF,79.29,few clouds,-9.8,-139.0333,Villa Enata
25,Bluff,NZ,65.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Beloha,MG,72.07,broken clouds,-25.1667,45.05,
27,Mombetsu,JP,42.82,broken clouds,44.3525,143.3525,Okhotsk Palace Hotel
28,Jamestown,US,33.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Banda Aceh,ID,84.43,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
30,Ushuaia,AR,40.66,overcast clouds,-54.8,-68.3,Albatross Hotel
31,Srednekolymsk,RU,8.44,overcast clouds,67.45,153.6833,
32,Hithadhoo,MV,83.7,scattered clouds,-0.6,73.0833,Scoop Guest House
33,Busselton,AU,65.62,few clouds,-33.65,115.3333,Observatory Guest House
34,Port Lincoln,AU,65.48,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
35,Punta Arenas,CL,44.71,overcast clouds,-53.15,-70.9167,Hotel Hain
36,Saint Joseph,US,57.58,clear sky,39.7686,-94.8466,Whiskey Mansion Inn
37,Port Augusta,AU,88.81,clear sky,-32.5,137.7667,Majestic Oasis Apartments
38,Broome,US,37.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
39,Palmeiras De Goias,BR,71.89,broken clouds,-16.805,-49.9258,Hotel Água Virada
40,Svetlogorsk,BY,35.76,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
41,Panji,ID,86.49,clear sky,-7.7253,114.0995,Rumah eni
42,Ogulin,HR,31.6,clear sky,45.2661,15.2286,Hotel Frankopan
43,Margate,GB,45.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
44,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Hobart,AU,63.01,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
46,Saint-Louis,SN,69.44,clear sky,16.3333,-15.0,
47,Greece,US,40.35,broken clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
48,Wakkanai,JP,44.58,broken clouds,45.4094,141.6739,Hyōsetsu-sō
49,Tazovskiy,RU,19.22,light snow,67.4667,78.7,TazHostel
50,Dikson,RU,-2.13,overcast clouds,73.5069,80.5464,
51,Upernavik,GL,4.24,overcast clouds,72.7868,-56.1549,Café de Upernavik
52,Nuqui,CO,77.94,light rain,5.7125,-77.2708,Hotel Nuquimar
53,Palana,RU,23.23,overcast clouds,59.1167,159.9667,Chikago
54,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
55,Liku,ID,85.96,broken clouds,-0.7275,119.8922,Wahyu
56,Yining,CN,86.07,clear sky,29.0361,114.5636,Xiushui Hotel
57,Cabo San Lucas,MX,72.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
58,Dukat,RU,1.53,overcast clouds,62.55,155.55,
59,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
60,Hermanus,ZA,61.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
61,Mahon,ES,54.16,clear sky,39.8885,4.2658,ARTIEM Capri
62,Kamenka,RU,50.58,overcast clouds,51.3223,42.7678,
63,Urdoma,RU,35.49,overcast clouds,61.7533,48.5442,Vikonda
64,Tarrega,ES,44.58,scattered clouds,41.647,1.1396,Hotel Ciutat de Tàrrega
65,Sambava,MG,74.86,broken clouds,-14.2667,50.1667,Melrose
66,Hofn,IS,35.56,overcast clouds,64.2539,-15.2082,Hótel Höfn
67,Kodiak,US,45.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
68,Butaritari,KI,79.83,moderate rain,3.0707,172.7902,Isles Sunset Lodge
69,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
70,Saint-Gabriel,CA,37.08,clear sky,46.3001,-73.3824,Auberge Le St Gab
71,Sola,VU,88.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
72,Plettenberg Bay,ZA,64.02,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
73,Kingston,JM,79.75,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
74,Ancud,CL,48.54,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
75,Suraabad,AZ,54.43,broken clouds,40.8192,49.4687,
76,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
77,Chokurdakh,RU,-2.22,overcast clouds,70.6333,147.9167,
78,Nouadhibou,MR,62.58,scattered clouds,20.931,-17.0347,El Medina
79,Mayumba,GA,76.44,light rain,-3.432,10.6554,LIKWALE LODGE
80,Dvinskoy,RU,32.23,overcast clouds,62.1535,45.1175,Gostinitsa Dvinskaya
81,Tasiilaq,GL,12.36,broken clouds,65.6145,-37.6368,The Red House
82,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
