City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-04-11 01:12:25,-33.0153,27.9116,64.54,87,100,13.71
1,Yellowknife,CA,2022-04-11 01:07:37,62.456,-114.3525,18.41,78,43,15.21
2,Puerto Ayora,EC,2022-04-11 01:11:20,-0.7393,-90.3518,77.56,93,100,5.01
3,Mataura,NZ,2022-04-11 01:12:26,-46.1927,168.8643,65.48,45,16,11.63
4,Saskylakh,RU,2022-04-11 01:11:00,71.9167,114.0833,-7.92,96,16,5.1
5,Linhares,BR,2022-04-11 01:11:49,-19.3911,-40.0722,73.81,97,30,4.12
6,Carnarvon,AU,2022-04-11 01:10:32,-24.8667,113.6333,73.47,53,23,11.5
7,Mega,ET,2022-04-11 01:12:27,4.05,38.3,58.87,86,12,5.14
8,Victoria,HK,2022-04-11 01:10:40,22.2855,114.1577,78.96,83,41,1.01
9,Emerald,AU,2022-04-11 01:12:28,-23.5333,148.1667,85.33,51,0,10.6
10,Albany,US,2022-04-11 01:12:28,42.6001,-73.9662,40.39,66,23,4.0
11,Fergus Falls,US,2022-04-11 01:12:29,46.283,-96.0776,40.17,80,100,12.66
12,Sobolevo,RU,2022-04-11 01:12:29,54.4299,31.8996,38.68,74,100,5.88
13,Mocajuba,BR,2022-04-11 01:12:30,-2.5842,-49.5072,72.46,99,95,2.64
14,Luena,AO,2022-04-11 01:12:31,-11.7833,19.9167,61.02,95,100,2.3
15,Ancud,CL,2022-04-11 01:12:31,-41.8697,-73.8203,48.6,79,6,4.21
16,Port-Gentil,GA,2022-04-11 01:11:02,-0.7193,8.7815,79.95,85,0,9.35
17,Ushuaia,AR,2022-04-11 01:12:32,-54.8,-68.3,39.6,76,100,3.06
18,Atuona,PF,2022-04-11 01:12:32,-9.8,-139.0333,79.43,76,17,16.02
19,Masterton,NZ,2022-04-11 01:09:31,-40.9597,175.6575,65.62,58,9,8.81
20,Hervey Bay,AU,2022-04-11 01:12:33,-25.2986,152.8535,80.02,72,0,8.01
21,Jamestown,US,2022-04-11 01:10:25,42.097,-79.2353,35.24,57,0,8.05
22,Chokurdakh,RU,2022-04-11 01:12:33,70.6333,147.9167,-5.62,94,97,2.53
23,Punta Arenas,CL,2022-04-11 01:11:28,-53.15,-70.9167,44.71,87,75,8.05
24,Vila Franca Do Campo,PT,2022-04-11 01:12:31,37.7167,-25.4333,55.81,73,90,21.77
25,Lasa,IT,2022-04-11 01:12:34,46.6166,10.7002,32.68,52,14,2.68
26,Roald,NO,2022-04-11 01:12:34,62.5833,6.1333,40.75,81,40,16.11
27,Jeremoabo,BR,2022-04-11 01:12:34,-10.075,-38.4808,71.31,84,6,5.01
28,Upernavik,GL,2022-04-11 01:09:03,72.7868,-56.1549,3.74,87,100,5.86
29,Dongsheng,CN,2022-04-11 01:12:35,39.8161,109.9776,44.53,25,100,17.05
30,Berbera,SO,2022-04-11 01:12:36,10.4396,45.0143,79.95,79,70,4.74
31,Misratah,LY,2022-04-11 01:12:36,32.3754,15.0925,59.67,65,0,10.87
32,Klaksvik,FO,2022-04-11 01:12:21,62.2266,-6.589,29.32,66,100,9.48
33,Longyearbyen,SJ,2022-04-11 01:12:11,78.2186,15.6401,12.04,52,0,20.71
34,Hasaki,JP,2022-04-11 01:12:37,35.7333,140.8333,73.29,78,100,15.59
35,Arraial Do Cabo,BR,2022-04-11 01:10:36,-22.9661,-42.0278,75.58,81,5,4.38
36,Bilma,NE,2022-04-11 01:12:38,18.6853,12.9164,83.62,7,0,4.54
37,Ponta Delgada,PT,2022-04-11 01:12:39,37.7333,-25.6667,56.12,71,75,11.5
38,Luderitz,NA,2022-04-11 01:12:40,-26.6481,15.1594,74.25,45,0,12.66
39,Manzil Salim,TN,2022-04-11 01:12:40,35.8567,8.4765,50.13,68,100,5.84
40,Miri,MY,2022-04-11 01:12:41,4.4148,114.0089,78.35,86,92,5.61
41,West Wendover,US,2022-04-11 01:12:42,40.7391,-114.0733,51.01,12,0,14.97
42,Kapaa,US,2022-04-11 01:12:42,22.0752,-159.319,79.12,81,75,10.36
43,Iqaluit,CA,2022-04-11 01:12:43,63.7506,-68.5145,23.7,79,100,5.99
44,Caravelas,BR,2022-04-11 01:12:44,-17.7125,-39.2481,77.29,85,11,3.76
45,Vaini,TO,2022-04-11 01:12:44,-21.2,-175.2,84.36,74,40,10.36
46,Oum Hadjer,TD,2022-04-11 01:12:44,13.2954,19.6966,87.03,33,100,6.4
47,Torbay,CA,2022-04-11 01:12:45,47.6666,-52.7314,33.28,95,100,18.41
48,Mantua,IT,2022-04-11 01:12:45,45.1667,10.7833,47.44,71,58,5.01
49,Natal,BR,2022-04-11 01:13:46,-5.795,-35.2094,79.45,94,40,3.44
50,Codrington,AU,2022-04-11 01:13:47,-38.2667,141.9667,61.92,53,19,12.37
51,Rikitea,PF,2022-04-11 01:13:47,-23.1203,-134.9692,79.05,74,0,16.13
52,Esperance,AU,2022-04-11 01:11:07,-33.8667,121.9,66.04,82,96,13.42
53,Rawah,IQ,2022-04-11 01:13:48,34.4816,41.9093,68.83,25,96,8.9
54,Tsaratanana,MG,2022-04-11 01:13:48,-16.7833,47.65,69.06,81,12,10.69
55,Fairbanks,US,2022-04-11 01:12:47,64.8378,-147.7164,27.61,66,100,4.61
56,Butaritari,KI,2022-04-11 01:10:22,3.0707,172.7902,79.63,80,94,6.46
57,Belgrade,RS,2022-04-11 01:13:49,44.804,20.4651,40.69,75,0,11.5
58,Sisimiut,GL,2022-04-11 01:13:50,66.9395,-53.6735,25.21,69,100,10.94
59,Kloulklubed,PW,2022-04-11 01:13:50,7.0419,134.2556,82.9,84,100,24.4
60,Alyangula,AU,2022-04-11 01:13:51,-13.8483,136.4192,89.51,58,97,8.57
61,Busselton,AU,2022-04-11 01:12:11,-33.65,115.3333,59.2,66,28,9.26
62,Georgetown,MY,2022-04-11 01:13:51,5.4112,100.3354,82.33,83,20,0.0
63,Sao Joao Da Barra,BR,2022-04-11 01:13:51,-21.6403,-41.0511,74.77,89,19,8.46
64,Salmo,CA,2022-04-11 01:13:52,49.1999,-117.2689,41.07,79,100,3.0
65,Olinda,BR,2022-04-11 01:13:52,-8.0089,-34.8553,82.13,74,75,6.91
66,Mar Del Plata,AR,2022-04-11 01:09:10,-38.0023,-57.5575,69.1,96,100,13.0
67,Kavieng,PG,2022-04-11 01:13:52,-2.5744,150.7967,84.65,68,100,8.86
68,Hermanus,ZA,2022-04-11 01:10:24,-34.4187,19.2345,61.81,91,11,11.18
69,Hilo,US,2022-04-11 01:13:53,19.7297,-155.09,78.53,79,100,8.05
70,Souillac,MU,2022-04-11 01:13:54,-20.5167,57.5167,77.04,74,91,17.22
71,Zambezi,ZM,2022-04-11 01:13:54,-13.5432,23.1047,60.3,98,96,4.41
72,Nome,US,2022-04-11 01:10:10,64.5011,-165.4064,36.16,86,0,5.75
